City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,san patricio,28.017,-97.5169,102.16,37,27,17.58,US,1690058589
189,vangaindrano,-23.35,47.6,66.85,91,96,4.85,MG,1690058596
190,togur,58.3631,82.8265,62.53,97,100,4.5,RU,1690058597
191,yongfeng,27.4283,112.1834,78.84,93,100,2.04,CN,1690058597
192,palmer,42.1584,-72.3287,83.62,50,40,8.05,US,1690058598
193,notodden,59.5594,9.2585,55.99,90,90,2.01,NO,1690058599
194,aoulef,26.9667,1.0833,102.97,8,11,7.2,DZ,1690058599
195,torghay,49.6339,63.4981,78.22,42,77,11.14,KZ,1690058600
196,slave lake,55.2834,-114.769,76.98,61,0,6.91,CA,1690058600
197,laiyang,36.9758,120.7136,72.39,93,0,2.46,CN,1690058302
198,lagunas,-5.2269,-75.6753,91.71,40,65,3.6,PE,1690058601
199,selfoss,63.9331,-20.9971,56.05,78,72,5.28,IS,1690058602
200,diu,20.7141,70.9822,79.66,89,100,11.07,IN,1690058602
201,humaita,-7.5061,-63.0208,94.46,27,2,3.15,BR,1690058603
202,kailua-kona,19.6406,-155.9956,87.6,74,40,12.66,US,1690058343
203,thompson,55.7435,-97.8558,64.56,48,75,12.66,CA,1690058604
204,georgetown,5.4112,100.3354,82.33,90,20,2.3,MY,1690058305
205,port lincoln,-34.7333,135.8667,51.75,70,16,12.86,AU,1690058568
206,chita,52.0333,113.55,46.29,87,32,2.24,RU,1690058605
207,petropavlovsk-kamchatsky,53.0452,158.6483,59.59,77,0,6.71,RU,1690058606
208,vadso,70.0744,29.7487,47.28,87,100,13.8,NO,1690058606
209,marsh harbour,26.5412,-77.0636,87.82,69,81,13.53,BS,1690058607
210,nova sintra,14.8667,-24.7167,72.75,78,8,18.01,CV,1690058578
211,hami,42.8,93.45,82.27,23,0,9.6,CN,1690058608
212,lima,-12.0432,-77.0282,71.91,72,100,13.8,PE,1690058431
213,gadzhiyevo,69.2551,33.3362,48.07,83,100,12.93,RU,1690058609
214,urengoy,65.9667,78.3667,64.2,77,24,7.29,RU,1690058609
215,talnakh,69.4865,88.3972,62.24,96,100,5.84,RU,1690058610
216,nemuro,43.3236,145.575,59.43,94,97,10.02,JP,1690058610
217,waiuku,-37.25,174.75,52.25,80,10,5.86,NZ,1690058611
218,keflavik,64.0049,-22.5624,54.03,82,100,6.91,IS,1690058611
219,bilibino,68.0546,166.4372,68.63,56,69,3.18,RU,1690058612
220,puerto deseado,-47.7503,-65.8938,38.3,63,96,15.79,AR,1690058612
221,antalaha,-14.9003,50.2788,68.74,84,10,7.87,MG,1690058613
222,susuman,62.7833,148.1667,55.54,94,100,5.35,RU,1690058613
223,mugia,43.1041,-9.2179,65.91,74,98,10.0,ES,1690058614
224,kayyerkan,69.3786,87.7439,57.96,98,100,4.23,RU,1690058615
225,nkove,-7.95,30.85,74.21,49,4,6.71,TZ,1690058616
226,syktyvkar,61.6764,50.8099,55.13,87,17,7.0,RU,1690058616
227,okhotsk,59.3833,143.3,58.48,92,93,3.87,RU,1690058617
228,cottage grove,44.8277,-92.9438,88.03,54,75,25.32,US,1690058617
229,simpang empat,4.95,100.6333,80.1,94,96,2.89,MY,1690058618
230,cochrane,51.1834,-114.4687,88.07,37,0,8.05,CA,1690058405
231,aracati,-4.5617,-37.7697,80.4,74,18,12.15,BR,1690058619
232,kitimat,54.0524,-128.6534,64.9,70,100,1.99,CA,1690058620
233,formosa do rio preto,-11.0483,-45.1931,75.4,50,61,5.44,BR,1690058621
234,kavieng,-2.5744,150.7967,81.16,83,100,9.17,PG,1690058621
235,holualoa,19.6228,-155.9522,83.88,74,40,12.66,US,1690058621
236,altay,47.8667,88.1167,64.15,45,19,3.2,CN,1690058622
237,andreapol',56.6513,32.2664,57.09,71,100,2.84,RU,1690058623
238,ake-eze,5.9168,7.6762,73.87,97,90,4.72,NG,1690058623
239,carnarvon,-24.8667,113.6333,58.8,40,0,16.64,AU,1690058576
240,luganville,-15.5333,167.1667,72.07,90,100,8.12,VU,1690058624
241,tadine,-21.55,167.8833,68.63,61,2,14.29,NC,1690058625
242,mount pearl,47.5166,-52.7813,75.54,78,75,16.11,CA,1690058625
